      precision,         ms
             10,          5
             20,         10
             30,         26
             40,         52
             50,        117
             60,        180
             70,        266
             80,        394
             90,        634
            100,        864
            110,       1159
            120,       1334
            130,       1653
            140,       2050
            150,       3353
            160,       4004
            170,       4702
            180,       5418
            190,       6421
            200,       7465
            210,       8469
            220,       9686
            230,      11076
            240,      12312
            250,      13517
            260,      15070
            270,      16948
            280,      18878
            290,      20867
            300,      23340
            310,      25585
            320,      28198
            330,      31575
            340,      34872
            350,      38021
            360,      41939
            370,      45357
            380,      49541
            390,      54045
            400,      58188
