      precision,         ms
              0,          0
             10,          1
             20,          2
             30,          2
             40,          6
             50,          6
             60,          6
             70,          5
             80,          6
             90,          8
            100,          9
            110,         17
            120,         20
            130,         23
            140,         26
            150,         34
            160,         35
            170,         38
            180,         46
            190,         46
