    x,         ms
    0,         73
    1,         66
    2,         66
    3,         67
    4,         66
    5,         66
    6,         67
    7,         67
    8,         67
    9,         67
   10,         67
   11,         67
   12,         70
   13,         70
   14,         72
   15,         73
   16,         70
   17,         70
   18,         70
   19,         69
   20,         70
   21,         70
   22,         70
   23,         70
   24,         71
   25,         70
   26,         70
   27,         70
   28,         73
   29,         70
   30,         70
   31,         70
   32,         70
   33,         70
   34,         70
   35,         70
   36,         70
   37,         70
   38,         70
   39,         70
   40,         70
   41,         70
   42,         71
   43,         75
   44,         71
   45,         70
   46,         70
   47,         70
   48,         70
   49,         69
   50,         70
   51,         70
   52,         70
   53,         70
   54,         70
   55,         71
   56,         70
   57,         70
   58,         71
   59,         70
   60,         71
   61,         70
   62,         70
   63,         71
   64,         71
   65,         70
   66,         71
   67,         98
   68,         71
   69,         79
   70,         71
   71,         77
   72,         74
   73,         77
   74,         71
   75,         71
   76,         70
   77,         77
   78,        120
   79,         77
   80,        111
   81,         72
   82,         72
   83,         72
   84,         73
   85,         94
   86,         71
   87,         70
   88,         70
   89,         71
   90,         71
   91,         71
   92,         71
   93,         71
   94,         71
   95,         71
   96,         71
   97,         71
   98,         95
   99,         71
