      precision,         ms
              0,          0
             10,          0
             20,          1
             30,          1
             40,          3
             50,          4
             60,          5
             70,          8
             80,          8
             90,         10
            100,         13
            110,         15
            120,         25
            130,         34
            140,         34
            150,         39
            160,         46
            170,         50
            180,         56
            190,         61
            200,         67
            210,         77
            220,         83
            230,         91
            240,        100
            250,        111
            260,        120
            270,        131
            280,        141
            290,        161
            300,        164
            310,        175
            320,        187
            330,        200
            340,        301
            350,        314
            360,        336
            370,        337
            380,        348
            390,        372
