    x,         ms
    0,      16308
    1,      15807
    2,      15859
    3,      15835
    4,      15981
    5,      15874
    6,      15854
    7,      15915
    8,      15861
    9,      15855
   10,      15837
   11,      15959
   12,      22894
   13,      21129
   14,      18359
   15,      16841
   16,      16470
   17,      16551
   18,      16074
   19,      15880
   20,      15836
   21,      15947
   22,      15889
   23,      15947
   24,      15884
   25,      15882
   26,      15899
   27,      15860
   28,      15845
   29,      15993
   30,      16260
   31,      16304
   32,      16385
   33,      16324
   34,      16213
   35,      16193
   36,      16158
   37,      16179
   38,      16161
   39,      16091
   40,      16219
   41,      16161
   42,      16107
   43,      16166
   44,      16111
   45,      16141
   46,      16138
   47,      16182
   48,      16165
   49,      16210
   50,      16513
   51,      16238
   52,      16120
   53,      16153
   54,      16219
   55,      16240
   56,      16157
   57,      16167
   58,      16290
   59,      16240
   60,      16190
   61,      16103
   62,      16120
   63,      16278
   64,      16264
   65,      16207
   66,      16194
   67,      16152
   68,      16126
   69,      16161
   70,      16310
   71,      16126
   72,      16189
   73,      16274
   74,      16189
   75,      16104
   76,      15871
   77,      16387
   78,      16322
   79,      16178
   80,      16128
   81,      15993
   82,      15980
   83,      15831
   84,      15841
   85,      15965
   86,      15887
   87,      15849
   88,      15962
   89,      15837
   90,      15852
   91,      15825
   92,      15952
   93,      15878
   94,      15833
   95,      15865
   96,      15925
   97,      15834
   98,      15883
   99,      15880
