Function,log(0.1),log(0.2),log(0.3),log(0.4),log(0.5),log(0.6),log(0.7),log(0.8),log(0.9),log(1),log(2),log(10),log(100),log2(2),log10(2),exp(2),sqrt(2),sqrt(9),pow(2;3),pow(2;0.1),root(2;3),sin(2),sin(100),cos(2),cos(100),tan(2),cot(2),asin(0.1),asin(0.8),acos(0.1),atan(0.1),acot(0.1),sinh(2),cosh(2),tanh(2),asinh(0.1),acosh(2),atanh(0.1),acoth(2),coth(2),atan2(2;3),gamma(0.1),BigFloat.add,BigFloat.subtract,BigFloat.multiply,BigFloat.divide
v1_0_0,1795.0,1876.3,1790.5,1880.0,11.0,1883.1,1964.2,1880.4,1950.7,0.0,84.0,6.5,9.9,107.1,102.0,854.4,21.6,199.1,0.1,925.3,165.4,668.8,1460.0,758.1,1554.0,1488.8,1488.2,1784.5,32637.8,1923.9,2800.5,2874.7,627.7,696.0,1495.6,2132.6,2118.7,2138.9,163.2,,,,0.4,0.3,0.2,0.8
v1_1_0,2005.4,2094.3,2001.1,2054.3,11.4,2062.7,2162.9,2087.1,1988.6,0.0,87.1,6.7,9.8,108.9,106.3,891.0,21.7,202.8,0.1,925.2,170.7,668.9,1463.5,759.4,1548.0,1491.5,1492.2,1785.2,32503.6,1917.0,2789.4,2865.8,627.7,696.8,1490.4,2131.3,2118.4,2186.0,166.9,1494.8,,,0.4,0.2,0.2,0.9
v1_2_0,2008.6,2101.6,2008.5,2054.0,5.4,2064.3,2169.2,2099.3,2002.4,0.1,79.2,1.6,3.8,170.2,89.9,870.1,19.5,0.2,0.3,921.2,163.4,668.7,1460.5,765.3,1554.9,1504.3,1504.4,1800.9,32563.1,1885.2,2821.8,2896.3,635.2,703.6,1506.2,2135.3,2119.1,2151.4,157.3,1501.5,,,0.3,0.2,0.2,0.7
v1_2_1,2016.4,2109.1,1948.0,2066.9,5.4,2073.2,2179.8,2102.4,2008.9,0.1,81.5,1.7,4.0,180.5,92.4,892.1,18.4,0.3,0.1,904.4,165.4,669.3,1459.6,765.4,1550.4,1502.2,1463.0,1792.0,32480.4,1920.2,2807.0,2873.5,632.2,700.6,1501.0,2130.5,2116.2,2197.9,157.8,1471.2,,,0.3,0.2,0.3,1.0
v1_3_0,2013.7,2099.4,2008.5,2060.0,5.7,2070.1,2126.3,2099.7,2006.5,0.1,79.3,1.6,4.0,175.0,92.4,872.1,19.2,0.3,0.2,919.8,165.7,668.6,1469.4,765.6,1557.2,1508.4,1506.8,1756.3,32523.8,1883.0,2809.4,2875.3,632.4,701.6,1506.8,2080.7,2106.9,2194.4,157.8,1471.8,1.3,,0.6,0.4,0.4,0.9
v2_0_0,2793.9,2864.0,2774.8,2492.5,2426.0,2328.1,2259.1,2232.8,2138.0,0.0,2420.9,2.4,17.0,2579.7,2423.6,884.7,19.8,0.5,0.1,3368.4,181.4,666.5,1458.7,764.0,1549.7,1495.7,1495.2,1741.7,32311.8,1867.9,2794.8,2869.9,630.5,699.3,1497.2,2306.9,3033.9,2297.6,2936.9,1497.1,0.8,,0.9,0.4,0.2,0.9
v2_0_1,2856.7,2955.0,2865.3,2500.2,2427.9,2386.2,2318.2,2238.0,2146.5,0.0,2425.4,2.3,16.0,2597.6,2500.1,889.1,18.9,0.6,0.1,3399.0,182.6,686.7,1471.3,767.9,1563.1,1510.4,1509.7,1802.8,32066.1,1872.5,2802.3,2887.8,632.1,700.9,1468.6,2315.7,3032.4,2301.1,2988.8,1461.8,25667.6,60597.0,0.6,0.3,0.2,0.9
v2_1_0,2161.2,2289.3,2124.8,2245.7,14.0,2243.4,2274.4,2192.6,2100.4,0.0,90.3,1.7,13.3,180.3,101.6,913.2,19.0,0.3,0.1,946.8,163.8,673.4,1465.5,808.6,1553.3,1502.1,1502.1,1752.6,32463.5,1874.7,2802.5,2883.6,631.9,700.5,1502.0,2152.3,2252.4,2316.2,166.0,1505.5,25688.5,21336.5,0.5,0.2,0.2,0.7
v2_2_0,1654.5,1744.5,1657.4,1707.8,13.7,1713.6,1723.1,1662.1,1601.0,0.1,88.4,1.8,13.7,180.1,105.2,635.4,17.7,0.1,0.1,732.1,90.9,495.0,1241.7,571.8,1331.9,1102.0,1101.5,1146.3,16941.2,1217.9,1768.1,1820.5,455.7,526.2,1095.5,1722.8,1726.2,1747.2,164.8,1069.2,14063.3,15424.7,0.6,0.5,0.3,1.0
v2_2_1,1618.6,1707.7,1625.3,1694.9,13.3,1697.1,1716.0,1660.1,1559.2,0.0,88.3,1.8,13.7,180.9,105.0,620.5,17.6,0.3,0.2,734.8,90.8,481.2,1249.8,572.4,1338.9,1102.8,1104.6,1120.4,16949.0,1224.9,1779.6,1830.3,456.2,525.2,1096.7,1661.6,1666.0,1754.6,169.2,1054.0,14217.7,15237.8,0.7,0.4,0.3,0.8
v2_3_0,1623.2,1712.2,1630.1,1645.4,12.5,1684.5,1704.1,1646.6,1587.0,0.0,85.9,1.7,13.3,179.7,106.9,632.5,17.4,0.3,0.2,719.3,86.2,486.0,1212.9,566.6,1299.8,1089.7,1089.4,1134.2,16558.3,1207.8,1729.4,1774.4,447.4,519.4,1080.2,1699.7,1715.5,1686.2,164.5,1080.9,13896.2,15232.8,0.5,0.3,0.2,0.8
