Function,log(0.1),exp(2),sqrt(2),pow(2;0.1),root(2;3),sin(2),cos(2),tan(2),cot(2),asin(0.1),acos(0.1),atan(0.1),acot(0.1),sinh(2),cosh(2),tanh(2),asinh(0.1),acosh(2),atanh(0.1),acoth(2),coth(2)
v1_0_0,2724.2,1141.5,27.5,1221.9,203.9,894.4,1019.1,2028.6,2025.2,2427.9,2639.0,3818.0,3950.4,841.2,940.6,2018.8,2909.7,2914.4,2998.1,214.2,
v1_1_0,2770.5,1193.4,27.4,1246.8,206.0,894.8,1019.6,2021.7,2008.2,2406.7,2601.4,3807.7,3910.8,827.5,922.0,1991.5,2862.4,2909.7,2969.0,219.7,2006.9
v1_2_0,2718.4,1208.1,21.0,1244.7,207.2,902.5,1029.3,2030.3,2026.8,2430.3,2604.2,3860.1,3938.2,840.6,941.5,2022.2,2882.5,2859.2,2964.6,209.9,2027.4
v1_2_1,2706.9,1196.5,21.6,1239.9,207.0,895.6,1023.9,2025.4,2055.2,2463.8,2607.5,3856.6,3939.4,839.0,937.5,2024.3,2889.1,2900.8,2974.2,211.8,2016.5
v1_3_0,2745.9,1193.6,31.2,1239.1,206.9,900.5,1032.0,2031.9,2066.8,2449.8,2628.0,3859.8,3960.5,843.6,941.8,2035.8,2916.6,2875.3,2997.2,212.3,2033.9
v2_0_0,3933.1,1227.7,24.8,4656.5,210.5,895.0,1028.4,2038.9,2017.4,2433.8,2592.3,3816.3,3945.7,847.2,939.6,2036.3,3168.4,4191.3,3228.2,4212.5,2034.3
v2_0_1,3924.6,1222.7,24.4,4637.7,210.3,893.7,1026.6,2027.6,2032.0,2419.2,2589.5,3834.9,3911.1,842.6,937.5,2031.3,3174.6,4164.1,3182.7,4161.9,2050.4
v2_1_0,2935.4,1245.3,23.9,1286.8,208.3,903.5,1050.7,2089.5,2090.2,2487.4,2634.2,3899.1,4019.1,848.6,945.1,2043.1,3108.6,3095.6,3190.3,220.5,2051.0
v2_2_0,2199.3,845.5,33.1,970.6,104.8,634.3,757.0,1473.3,1480.1,1584.1,1676.6,2399.1,2451.2,597.2,696.4,1463.0,2325.8,2335.2,2358.1,222.4,1460.5
v2_2_1,2200.6,840.8,22.0,960.6,102.8,629.8,749.1,1466.3,1474.6,1566.6,1661.1,2325.0,2393.7,594.5,692.5,1453.3,2262.7,2318.6,2327.6,221.7,1444.1
