Function,log(0.5),pow(2;0.1),sin(100),cos(100),tan(2),cot(2),asin(0.1),acos(0.1),atan(0.1),acot(0.1),tanh(2),asinh(0.1),acosh(2),acoth(2),atanh(0.1),coth(2)
v1_0_0,10.9,524.5,934.0,932.6,872.5,870.8,1023.3,1113.5,1850.7,1899.5,857.4,1234.0,1226.2,140.4,1266.6,
v1_1_0,7.7,507.7,902.6,979.3,844.6,842.1,1027.0,1109.7,1966.2,2017.5,1009.0,1483.5,1459.0,70.2,1507.7,1010.2
v1_2_0,4.4,611.2,1095.2,1136.6,1028.0,1024.7,1232.2,1980.1,1849.9,2249.9,1019.1,1476.9,1454.4,65.2,1523.9,1022.2
v1_2_1,5.0,606.1,1077.1,1119.0,1011.1,1010.5,1224.6,1327.2,1851.3,2252.4,1018.5,1467.0,1457.9,65.2,1513.4,1022.0
v1_3_0,6.3,610.4,1083.2,1125.6,1017.9,1015.8,1227.0,1321.9,2188.8,2244.1,1011.8,1448.7,1440.1,64.9,1505.6,1010.6
v2_0_0,1695.5,2393.1,1071.4,1121.7,1010.6,1011.0,1231.3,1139.4,2179.0,1884.9,1006.9,1594.0,2125.5,1803.5,1388.9,852.9
v2_0_1,1716.9,2068.2,904.2,971.9,850.3,852.9,1051.1,1115.8,1881.0,1940.7,876.4,1374.6,1795.6,1795.8,1383.8,852.6
v2_1_0,12.8,513.4,932.5,974.0,881.3,887.7,1023.5,1317.0,2191.1,2255.7,1012.8,1548.7,1562.0,61.6,1393.1,1017.5
v2_2_0,10.1,463.7,898.8,789.1,597.0,1102.1,1121.8,759.2,1152.9,1359.1,701.5,1103.3,1122.9,60.4,933.5,699.8
v2_2_1,10.7,472.9,924.9,805.0,725.0,727.2,722.4,1173.2,1971.6,2045.3,593.7,1112.8,1141.6,59.9,941.2,589.4
v2_3_0,18.5,474.4,774.9,808.0,603.9,725.1,717.4,641.9,1365.0,1404.0,712.4,1122.6,1148.2,71.7,1147.9,597.1
v2_3_1,10.7,481.6,932.5,1000.7,1066.4,1112.5,1146.2,640.6,1141.2,1177.4,594.9,943.2,968.5,65.4,968.1,602.4
