Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1092.5,          1070.0,           884.3,          1750.3
log(0.2)            ,          1159.4,          1143.5,          1128.9,          1395.4
log(0.3)            ,          1091.8,          1075.6,          1061.1,          1322.0
log(0.4)            ,          1463.3,          1260.6,          1126.6,          2388.6
log(0.5)            ,            19.2,            18.8,            18.5,            25.4
log(0.6)            ,          1198.3,          1172.8,          1135.7,          1731.8
log(0.7)            ,          1216.0,          1190.6,          1153.8,          1979.1
log(0.8)            ,          1162.1,          1150.3,          1110.3,          1329.9
log(0.9)            ,          1109.2,          1091.5,          1055.2,          1324.0
log(1)              ,             0.1,             0.1,             0.0,             0.2
log(2)              ,            43.9,            41.6,            40.2,            57.2
log(10)             ,             1.8,             1.9,             1.4,             3.3
log(100)            ,            13.2,            14.2,            10.7,            21.5
log2(2)             ,           111.5,           111.4,            80.8,           244.7
log10(2)            ,            54.0,            51.0,            50.1,           135.5
exp(2)              ,           348.5,           335.7,           326.0,           524.2
sqrt(2)             ,            20.1,            18.9,            17.7,            41.6
sqrt(9)             ,             0.6,             0.6,             0.4,             2.0
pow(2;3)            ,             0.1,             0.1,             0.1,             0.2
pow(2;0.1)          ,           660.0,           696.1,           474.4,           969.4
root(2;3)           ,           111.0,           121.1,            83.9,           154.2
sin(2)              ,           433.2,           491.0,           254.7,           700.1
sin(100)            ,           861.8,           841.1,           774.9,          1196.6
cos(2)              ,           538.9,           574.5,           291.4,           872.0
cos(100)            ,          1606.5,          1812.7,           808.0,          2479.2
tan(2)              ,           661.8,           629.8,           603.9,          1252.9
cot(2)              ,           762.4,           749.0,           725.1,           897.3
asin(0.1)           ,           755.6,           740.1,           717.4,           905.5
asin(0.8)           ,         15809.7,         14177.8,         11865.3,         28458.4
acos(0.1)           ,           673.4,           659.9,           641.9,           797.3
atan(0.1)           ,          1443.3,          1424.3,          1365.0,          1822.2
acot(0.1)           ,          1463.8,          1455.6,          1404.0,          1679.0
sinh(2)             ,           305.4,           296.1,           288.6,           425.8
cosh(2)             ,           333.1,           323.4,           313.4,           449.5
tanh(2)             ,           749.9,           734.4,           712.4,           885.2
asinh(0.1)          ,          1238.7,          1233.1,          1122.6,          1622.6
acosh(2)            ,          1206.2,          1176.0,          1148.2,          1786.4
atanh(0.1)          ,          1199.1,          1177.3,          1147.9,          1337.1
acoth(2)            ,            84.5,            75.2,            71.7,           174.4
coth(2)             ,           945.0,           989.3,           597.1,          1375.9
atan2(2;3)          ,         11801.5,         12208.6,         10248.8,         21489.7
gamma(0.1)          ,         12328.3,         12240.1,         10201.9,         22057.0
BigFloat.add        ,             0.8,             0.6,             0.3,             8.7
BigFloat.subtract   ,             0.4,             0.3,             0.2,             2.2
BigFloat.multiply   ,             0.2,             0.2,             0.2,             0.9
BigFloat.divide     ,             0.5,             0.5,             0.4,             1.8
