Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1683.9,          1678.6,          1639.8,          1866.6
log(0.2)            ,          1786.2,          1776.8,          1722.1,          2348.8
log(0.3)            ,          1690.9,          1690.0,          1639.8,          1771.4
log(0.4)            ,          1710.2,          1692.2,          1680.6,          1796.5
log(0.5)            ,            13.3,            13.1,            13.0,            16.6
log(0.6)            ,          1757.3,          1735.4,          1681.1,          3621.1
log(0.7)            ,          1747.5,          1752.2,          1703.9,          1863.1
log(0.8)            ,          1677.1,          1659.9,          1647.2,          1741.5
log(0.9)            ,          1607.2,          1593.9,          1545.9,          1677.3
log(1)              ,             0.1,             0.1,             0.0,             0.1
log(2)              ,            90.7,            88.7,            88.2,           160.7
log(10)             ,             1.8,             1.7,             1.7,             2.9
log(100)            ,            13.8,            13.4,            13.3,            17.6
log2(2)             ,           189.6,           187.5,           180.6,           254.9
log10(2)            ,           107.4,           107.7,           104.6,           158.6
exp(2)              ,           637.3,           634.3,           616.2,           709.0
sqrt(2)             ,            20.9,            20.9,            16.9,            36.2
sqrt(9)             ,             0.3,             0.3,             0.2,             0.4
pow(2;3)            ,             0.1,             0.1,             0.1,             0.2
pow(2;0.1)          ,           743.4,           731.4,           724.1,           810.6
root(2;3)           ,            95.0,            92.4,            86.4,           198.8
sin(2)              ,           503.5,           501.4,           475.9,           582.9
sin(100)            ,          1248.4,          1247.2,          1205.4,          1459.9
cos(2)              ,           768.4,           756.4,           689.0,           980.4
cos(100)            ,          1590.6,          1582.7,          1538.3,          1747.2
tan(2)              ,          1138.8,          1122.8,          1086.5,          1426.3
cot(2)              ,          1106.5,          1094.6,          1084.7,          1208.0
asin(0.1)           ,          1173.7,          1168.2,          1133.9,          1266.3
asin(0.8)           ,         16864.0,         16725.6,         16573.5,         19906.2
acos(0.1)           ,          1253.8,          1246.5,          1205.3,          1331.2
atan(0.1)           ,          1807.2,          1782.9,          1726.7,          3201.2
acot(0.1)           ,          1824.4,          1802.8,          1777.9,          1915.0
sinh(2)             ,           460.4,           453.1,           447.8,           557.8
cosh(2)             ,           525.9,           521.8,           507.0,           612.9
tanh(2)             ,          1104.8,          1090.8,          1080.3,          1188.9
asinh(0.1)          ,          1744.7,          1749.4,          1697.9,          1829.5
acosh(2)            ,          1754.5,          1760.8,          1710.8,          1867.6
atanh(0.1)          ,          1749.2,          1730.5,          1714.7,          1817.7
acoth(2)            ,           176.0,           173.6,           168.8,           248.2
coth(2)             ,          1096.2,          1083.2,          1075.8,          1172.5
atan2(2;3)          ,         14419.5,         14331.1,         13853.5,         17215.1
gamma(0.1)          ,         15538.9,         15567.1,         15192.8,         16782.3
BigFloat.add        ,             1.0,             0.8,             0.4,            29.5
BigFloat.subtract   ,             0.6,             0.5,             0.4,             3.1
BigFloat.multiply   ,             0.3,             0.3,             0.2,             0.8
BigFloat.divide     ,             2.0,             0.9,             0.8,           105.2
